drainage,experiment,channel,structure,block,phenotype,density,treatment,exclosure,weights,light,volume,num.spp,gpp,b2,b3,t1,t2,t3,t4,t5,ele,t1e,t2e,t3e,t4e,t5e,d,de
Guanapo,1,1,1,1,LOW,HIGH,3,C,0.96,7129511,2.581145336,11,422.98415,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Guanapo,1,2,1,1,HIGH,HIGH,5,C,0.96,7129511,1.578593805,16,345.4528,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Guanapo,1,3,2,1,LOW,LOW,2,C,0.96,7511790,3.548502916,11,396.489625,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Guanapo,1,4,2,1,NONE,NONE,1,C,0.96,7511790,8.006733587,8,635.772,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Guanapo,1,5,3,1,HIGH,LOW,4,C,0.96,7995134,1.209488996,13,603.70015,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Guanapo,1,6,3,2,NONE,NONE,1,C,0.96,7995134,12.94131738,6,997.202075,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Guanapo,1,7,4,2,LOW,LOW,2,C,0.96,9521649,3.349828586,12,628.807725,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Guanapo,1,8,4,2,NONE,NONE,1,C,0.96,9521649,9.988870122,7,936.178375,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Guanapo,1,9,5,2,HIGH,HIGH,5,C,0.96,5945002,1.443529637,4,407.89125,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Guanapo,1,10,5,2,HIGH,LOW,4,C,0.96,5945002,1.038237299,9,486.1415,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Guanapo,1,11,6,3,LOW,HIGH,3,C,0.96,10427919,0.672702963,8,377.57225,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Guanapo,1,12,6,3,NONE,NONE,1,C,0.96,10427919,11.78004903,7,736.6528,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Guanapo,1,13,7,3,HIGH,HIGH,5,C,0.96,6515862,0.027133759,7,290.9975,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Guanapo,1,14,7,3,HIGH,LOW,4,C,0.96,6515862,0.373426803,14,310.96325,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Guanapo,1,15,8,3,LOW,LOW,2,C,0.96,7311785,0.285118574,5,180.135,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Guanapo,1,16,8,3,LOW,HIGH,3,C,0.96,7311785,0.303429119,8,334.964,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Aripo,1,17,1,1,HIGH,LOW,4,C,0.96,9099315,0.679898933,17,1109.5152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aripo,1,18,1,1,LOW,LOW,2,C,0.96,9099315,2.374177575,15,968.7975,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aripo,1,19,2,1,HIGH,HIGH,5,C,0.96,9800985,0.357176115,12,922.1191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aripo,1,20,2,1,LOW,HIGH,3,C,0.96,9800985,0.150825517,15,919.4048,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aripo,1,21,3,1,NONE,NONE,1,C,0.96,8738530,6.721172741,15,1810.374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aripo,1,22,3,2,LOW,HIGH,3,C,0.96,8738530,0.561920641,17,1341.0306,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aripo,1,23,4,2,HIGH,HIGH,5,C,0.96,7320445,1.168945311,18,1062.061,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aripo,1,24,4,2,LOW,LOW,2,C,0.96,7320445,0.723640981,14,1150.7776,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aripo,1,25,5,2,HIGH,LOW,4,C,0.96,6313895,0.64843297,19,1038.6473,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aripo,1,26,5,2,NONE,NONE,1,C,0.96,6313895,5.701872606,21,1513.2592,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aripo,1,27,6,2,LOW,HIGH,3,C,0.96,10522215,0.441028389,7,804.9245,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aripo,1,28,6,3,HIGH,LOW,4,C,0.96,10522215,1.667733316,23,1158.9903,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Aripo,1,29,7,3,NONE,NONE,1,C,0.96,7550110,0.881460916,16,905.7776,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Aripo,1,30,7,3,HIGH,HIGH,5,C,0.96,7550110,0.639755403,15,760.8231,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Aripo,1,31,8,3,LOW,LOW,2,C,0.96,6418135,0.529586868,15,627.464,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Aripo,1,32,8,3,NONE,NONE,1,C,0.96,6418135,2.257816635,11,1139.5776,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Guanapo,1,1,1,1,LOW,HIGH,3,E,0.04,7129511,12.01523464,20,422.98415,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
Guanapo,1,2,1,1,HIGH,HIGH,5,E,0.04,7129511,14.17302174,11,345.4528,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
Guanapo,1,3,2,1,LOW,LOW,2,E,0.04,7511790,7.427572389,19,396.489625,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
Guanapo,1,4,2,1,NONE,NONE,1,E,0.04,7511790,1.601347361,11,635.772,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
Guanapo,1,5,3,1,HIGH,LOW,4,E,0.04,7995134,8.193955967,15,603.70015,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
Guanapo,1,6,3,2,NONE,NONE,1,E,0.04,7995134,2.279401067,10,997.202075,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
Guanapo,1,7,4,2,LOW,LOW,2,E,0.04,9521649,10.77658444,15,628.807725,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
Guanapo,1,8,4,2,NONE,NONE,1,E,0.04,9521649,1.407970897,15,936.178375,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
Guanapo,1,9,5,2,HIGH,HIGH,5,E,0.04,5945002,15.1962607,11,407.89125,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1
Guanapo,1,10,5,2,HIGH,LOW,4,E,0.04,5945002,0.075831014,5,486.1415,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
Guanapo,1,11,6,3,LOW,HIGH,3,E,0.04,10427919,3.140427062,6,377.57225,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
Guanapo,1,12,6,3,NONE,NONE,1,E,0.04,10427919,1.354235072,10,736.6528,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
Guanapo,1,13,7,3,HIGH,HIGH,5,E,0.04,6515862,4.225606899,22,290.9975,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
Guanapo,1,14,7,3,HIGH,LOW,4,E,0.04,6515862,0.493464814,9,310.96325,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
Guanapo,1,15,8,3,LOW,LOW,2,E,0.04,7311785,2.820903877,14,180.135,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1
Guanapo,1,16,8,3,LOW,HIGH,3,E,0.04,7311785,11.63505078,9,334.964,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
Aripo,1,17,1,1,HIGH,LOW,4,E,0.04,9099315,18.41809205,21,1109.5152,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Aripo,1,18,1,1,LOW,LOW,2,E,0.04,9099315,4.11411647,14,968.7975,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Aripo,1,19,2,1,HIGH,HIGH,5,E,0.04,9800985,12.38975172,12,922.1191,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Aripo,1,20,2,1,LOW,HIGH,3,E,0.04,9800985,2.390365232,23,919.4048,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Aripo,1,21,3,1,NONE,NONE,1,E,0.04,8738530,6.59253568,17,1810.374,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Aripo,1,22,3,2,LOW,HIGH,3,E,0.04,8738530,18.65937896,15,1341.0306,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Aripo,1,23,4,2,HIGH,HIGH,5,E,0.04,7320445,12.66892144,12,1062.061,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Aripo,1,24,4,2,LOW,LOW,2,E,0.04,7320445,23.15193756,20,1150.7776,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Aripo,1,25,5,2,HIGH,LOW,4,E,0.04,6313895,3.063916946,18,1038.6473,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Aripo,1,26,5,2,NONE,NONE,1,E,0.04,6313895,15.50602781,10,1513.2592,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Aripo,1,27,6,2,LOW,HIGH,3,E,0.04,10522215,18.93345127,18,804.9245,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Aripo,1,28,6,3,HIGH,LOW,4,E,0.04,10522215,7.956595637,11,1158.9903,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
Aripo,1,29,7,3,NONE,NONE,1,E,0.04,7550110,3.560045676,17,905.7776,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Aripo,1,30,7,3,HIGH,HIGH,5,E,0.04,7550110,7.243267036,8,760.8231,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Aripo,1,31,8,3,LOW,LOW,2,E,0.04,6418135,7.059909769,8,627.464,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
Aripo,1,32,8,3,NONE,NONE,1,E,0.04,6418135,15.6320791,17,1139.5776,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
